13,-1.38675
17,1.69775
29,0.557086
1033,-0.0311136
37,1.80839
41,2.34261
53,-0.686803
61,-0.640184
73,-0.117041
89,0.741999
97,-0.101535
101,2.6866
109,-0.478913
1049,0.710134
113,-0.0940721
137,-0.0854358
149,0.24577
157,-0.399043
173,-1.5966
181,-0.371647
193,-0.647834
1061,-2.36392
197,0.783718
229,-0.330409
233,-0.58961
241,-0.0644157
257,-2.05848
269,-1.76816
1069,2.78325
277,-0.300421
2341,-0.10334
281,-0.536895
293,0.642627
313,2.20441
317,1.9658
337,-0.0544735
1093,-0.151238
349,-3.69349
353,0.798369
1097,0.211346
373,2.22646
389,-0.659126
397,-1.85698
401,1.14857
409,-0.0494468
1109,1.051
421,-0.243685
2357,0.226575
433,2.64313
449,2.59561
1117,-0.149604
457,-0.046778
461,1.25752
509,-1.99459
1129,-0.0297614
3733,-0.0818354
521,2.05911
541,-0.214967
1153,-0.02945
557,1.82197
569,-1.38343
577,-1.70685
1181,1.71683
2377,-0.0205109
593,-2.66923
601,-2.32508
613,0.444286
1193,-1.65027
617,1.57008
641,-0.355479
1201,3.4338
653,1.05659
661,1.67251
673,0.886585
1213,-0.143562
2381,1.70098
677,-1.72949
701,0.71762
1217,-0.0286652
709,-0.187779
1229,-0.599023
733,-0.184679
757,-0.181728
3761,2.07087
5209,-0.346388
1237,-0.142163
761,0.54375
2389,-0.429646
769,-0.324548
1249,-0.0282956
773,-0.179838
797,0.38964
1277,-0.811526
809,1.0899
821,2.05911
1289,2.42322
829,-0.173657
2393,2.43263
853,-0.719026
1297,-1.13845
857,-1.12726
1301,0.970352
877,3.07285
881,-0.572745
1321,-0.687842
2417,-1.15941
929,2.32943
3769,2.19898
1361,-1.54506
937,0.22868
941,1.92335
1373,-0.998542
6709,-0.256384
953,1.00419
1381,-0.134547
977,-2.33548
2437,-2.37005
997,2.37527
1409,-0.666016
1009,-0.0314814
1013,-1.91657
1429,1.1375
1021,-2.15942
2441,-1.47754
1433,1.03025
5233,2.9721
1453,-0.131171
3793,-0.0162371
1481,-1.48114
2473,3.35818
1489,-0.0259151
1493,-0.75053
2477,1.02472
8293,0.823579
1549,-0.940104
1553,-1.2434
3797,-1.63908
2521,0.139416
1597,-0.125117
1601,-0.424867
1609,-0.02493
2549,0.534785
5237,-0.0690922
1613,2.46501
3821,-0.986828
1621,-0.124188
2557,-0.0988791
1637,0.667328
6733,-0.0609348
1657,0.171964
2593,-2.69042
9829,-0.0504331
1669,-0.122389
1693,1.43392
3833,-0.662239
2609,-0.802688
1697,-1.38367
1709,2.20126
5261,0.0413606
1721,-1.37399
2617,-0.0195478
1733,1.2251
11489,-1.42742
3853,-0.0805509
1741,-2.42059
